Title,Link,Time
内部结算转账单,https://finance.ustc.edu.cn/_upload/article/files/84/f5/07176e5444b5905739bdd767f252/aefdc120-649d-4800-b396-aa846a14ce6f.pdf,2020-07-30
财务报销票据粘贴单,https://finance.ustc.edu.cn/_upload/article/files/a4/0f/a7eb4192459fbe57274f2e29ca11/603382ba-5402-4acc-a784-9819b69840e1.doc,2020-07-30
材料出入库单,https://finance.ustc.edu.cn/_upload/article/files/b0/e0/05d7c3194460832c4fb9076a9d22/ef510693-f14a-4266-b36b-c187b27dcf88.doc,2020-07-30
国内公务接待费自查自纠表,https://finance.ustc.edu.cn/_upload/article/files/ac/59/f2884bec41388ad332b29fb4b8f1/c8fe5a5f-1d86-4b9e-af3f-bd711b596614.xls,2020-07-30
工作餐自查自纠表,https://finance.ustc.edu.cn/_upload/article/files/31/e5/fc984dd344c6ba2d4eddb5b19b0a/d7cbdf69-0280-4bb7-8b5d-c7a49d604f3d.xls,2020-07-30
商场购物自查自纠表,https://finance.ustc.edu.cn/_upload/article/files/3f/2c/6d298dfc4621a6d7edaf39f0315f/d1cfc8e6-923f-48bc-a79b-5ed3e973e7da.xls,2020-07-30
预算单位公务卡办卡清单,https://finance.ustc.edu.cn/_upload/article/files/54/dd/5eb64cab4f7d9a90c58d0813a796/db240287-15ed-4515-87ed-7bcd8b40709e.xls,2020-07-30
科研项目聘用人员办理公务卡审批表,https://finance.ustc.edu.cn/_upload/article/files/48/59/d64ec3ee44e38aef86eb4713791a/47c549c6-71e8-4fcf-824b-67ba8fcdcb06.xls,2020-07-30
乘坐非国内航空公司航班和改变中转地审批表,https://finance.ustc.edu.cn/_upload/article/files/d2/4f/4f4d77cd48948ae56e3302310e16/798a1409-6bbb-4113-803f-1e3a7ecba63c.xls,2020-07-30
中国科学技术大学校内预算调整项目申报书,https://finance.ustc.edu.cn/2020/0730/c21818a441241/page.htm,2020-07-30
科研项目预算调整审批表,https://finance.ustc.edu.cn/2020/0730/c21818a441240/page.htm,2020-07-30
科研项目财务委托书,https://finance.ustc.edu.cn/_upload/article/files/d7/d9/475cf5604a82941b0b489735d957/9b1e17e7-0218-4ce3-b8f9-9150a4ca1c8b.doc,2020-07-30
中国科学技术大学2015年度预算项目执行与绩效情况说明书,https://finance.ustc.edu.cn/_upload/article/files/c0/42/634fda404ee7a0b2124989bbae53/3798a52a-a6ae-4c1e-87a1-b162781f2e86.doc,2020-07-30
关于启用不等候报账系统的通知,https://finance.ustc.edu.cn/_upload/article/files/a0/de/a61e3d744bf7b1517e0a063d57fd/63a8e725-2a26-4223-8d7b-5faa5ac16663.doc,2020-07-30
财务审批签字手迹备案表,https://finance.ustc.edu.cn/_upload/article/files/8c/b6/dfa382ab42799a9d902c05bede10/584c4b8d-e5b7-410e-97fb-da80d66d962c.doc,2020-07-30
关于办理财务审批签字手迹备案的通知(2014-10-15）,https://finance.ustc.edu.cn/_upload/article/files/f7/50/e4a153c54681a60f129a255dbe0a/65564ba4-8531-4dee-9717-de62c0c82f03.doc,2020-07-30
在职人员加班及课时劳务酬金发放操作流程和要求,https://finance.ustc.edu.cn/_upload/article/files/52/fb/af8fc5774664ae7fcdeee778b331/a477cf9c-40ca-4291-a173-df4077666c74.doc,2020-07-30
2016年“六项费用”来源分解表,https://finance.ustc.edu.cn/_upload/article/files/80/4c/398396494e6d94929a9ad9026ded/c9465c83-7612-4203-938c-2910f65c5a6b.doc,2020-07-30
卡点结账汇总审批表,https://finance.ustc.edu.cn/_upload/article/files/96/19/31b8fe6d45bd82eacfca08e61e6e/ffea14ed-ab61-4de6-b444-ab68ab1cec20.xls,2020-07-30
个人所得税纳税申报表及填表说明,https://finance.ustc.edu.cn/_upload/article/files/53/21/7aecbe9945a2b8f98d0c617834f7/e8f6456d-8c30-4ba8-a206-6fcee1bbc66f.doc,2020-07-30
“六项费用”支出计划表,https://finance.ustc.edu.cn/_upload/article/files/7c/5d/36f0659d4299a0f14f9b93dda13e/1609aa6b-ebfa-4e2c-84eb-9b81d6fea79a.xls,2020-07-30
会计档案查询申请表,https://finance.ustc.edu.cn/_upload/article/files/4b/e3/bb3451824249ad3b0f118b104447/38344b04-dd12-4c57-bfcf-6e84632c397d.xls,2020-07-30
中国科学技术大学卡点业务范围申报清单表,https://finance.ustc.edu.cn/_upload/article/files/88/f2/3381d6cd4c798e99090966cff952/104a548a-6ce1-4e7e-b10d-a11a1c82ca16.xls,2020-07-30
中国科学技术大学临时应急项目立项及经费预算申报书,https://finance.ustc.edu.cn/_upload/article/files/aa/f9/7df89f954084b225ba1430b2c3f9/5fd6543a-45c2-41e7-a50e-9fde11391e84.xls,2020-07-30
学院上交学校科研成本汇总表（学院填写）,https://finance.ustc.edu.cn/_upload/article/files/05/48/f3ce389347cb8862f3fe914f7425/601cac48-1caa-40ce-b795-cfac0cabd062.xls,2020-07-30
中国科学技术大学预拨经费申请表,https://finance.ustc.edu.cn/_upload/article/files/1f/20/512014974a2591006998809f21ca/2700e16d-99d8-405e-914d-200f59336f8d.xls,2020-07-30
预算执行计划表,https://finance.ustc.edu.cn/_upload/article/files/e8/ae/f00d25474a08a58e037ab34755d5/dfc7f487-02ea-4201-a81e-8eaee790db1a.xls,2020-07-30
公用房使用费分解明细表,https://finance.ustc.edu.cn/_upload/article/files/b6/da/029a93f644d6847f1f92e3928050/1117eea1-bf17-4a03-8900-d6650142bd23.xls,2020-07-30
燃料动力费清单,https://finance.ustc.edu.cn/_upload/article/files/0d/8d/322d3b56429b94e4c1e46104bcd7/00373517-3c25-4bb2-9d53-df98400a06cc.xls,2020-07-30
测试化验加工费清单,https://finance.ustc.edu.cn/_upload/article/files/e0/08/9a868ec74b0ba7971f1a69398cef/55511f16-cd10-4006-82ce-a828fc50f618.doc,2020-07-30
院级单位科研经费补贴分配清单,https://finance.ustc.edu.cn/_upload/article/files/d6/c5/73b660ee4546bbf13f708c96999a/6c778d7a-eb92-443a-960f-b41110b09332.xls,2020-07-30
更改指标负责人申请表,https://finance.ustc.edu.cn/_upload/article/files/74/0d/64339ebc4a65a8c852c2e84d1637/77c0fca6-32c5-4593-8c0a-ddcb32dc3035.xls,2020-07-30
水电汽使用费分解明细表,https://finance.ustc.edu.cn/_upload/article/files/b2/61/304297ec4eedaa52cec33648a608/71508e17-3bb1-4364-b3f2-fdc0763cd36d.xls,2020-07-30
2010年二级核算及自收自支单位预算明细表,https://finance.ustc.edu.cn/_upload/article/files/7a/0e/0f8c676a4d4bb9fff7dfabd06575/e0f0c363-928d-44e9-a4a7-a8a62ab75534.xls,2020-07-30
中国科学技术大学财务人员基本情况登记表,https://finance.ustc.edu.cn/_upload/article/files/29/14/4d5b27b34c59beb875df58f57e47/a8c902cb-7347-4d65-82b6-5a51841e6c0c.doc,2020-07-30
填表说明,https://finance.ustc.edu.cn/_upload/article/files/76/b3/8772205e4113aabc2c7f67524c37/8e984e06-cd84-4647-9d6a-07a4ca17b823.doc,2020-07-30
银行账户情况报告表,https://finance.ustc.edu.cn/_upload/article/files/a9/5f/e46fcb134ebf924f2921bcb8ae1c/e8b1889d-73ab-467a-8c8e-16f69fec3180.xls,2020-07-30
小金库自查自纠报告表,https://finance.ustc.edu.cn/_upload/article/files/70/13/3c25a2e24aee8044618f866b8fde/afa3171d-0606-4ef1-ba10-c8cab9c087a4.xls,2020-07-30
工程硕士应用证明参考模板,https://cybersec.ustc.edu.cn/2023/1109/c23830a617140/page.htm,2023-11-09
专业选修课认定,https://cybersec.ustc.edu.cn/2023/1109/c23830a617139/page.htm,2023-11-09
工程博士开题申请表,https://cybersec.ustc.edu.cn/2023/1108/c23830a617052/page.htm,2023-11-08
工程博士开题报告,https://cybersec.ustc.edu.cn/2023/1108/c23830a617051/page.htm,2023-11-08
研究生学位论文开题-工作检查-送审申请表,https://cybersec.ustc.edu.cn/2023/1102/c23830a616522/page.htm,2023-11-02
工程硕士中期报告考核表,https://cybersec.ustc.edu.cn/2023/1102/c23830a616521/page.htm,2023-11-02
工程硕士开题报告及评审表,https://cybersec.ustc.edu.cn/2023/1102/c23830a616520/page.htm,2023-11-02
博士/硕士中期检查报告,https://cybersec.ustc.edu.cn/2023/1102/c23830a616519/page.htm,2023-11-02
博士/硕士开题报告,https://cybersec.ustc.edu.cn/2023/1102/c23830a616518/page.htm,2023-11-02
网络空间安全学院高水平讲座实施申请表,https://cybersec.ustc.edu.cn/2023/1010/c23830a614445/page.htm,2023-10-10
网络空间安全学院自然科学类学术报告会、研讨会审批表,https://cybersec.ustc.edu.cn/2023/1010/c23830a614444/page.htm,2023-10-10
加课申请表,https://cybersec.ustc.edu.cn/2022/0720/c23830a563025/page.htm,2022-07-20
网络空间安全学院研究生学位论文答辩材料自查表,https://cybersec.ustc.edu.cn/2021/0705/c23830a516041/page.htm,2021-07-05
博士生“网络空间安全专题”成绩登记表,https://cybersec.ustc.edu.cn/2020/0826/c23830a468198/page.htm,2020-08-26
网络空间安全学院任职证明模版,https://cybersec.ustc.edu.cn/2023/1117/c34997a619501/page.htm,2023-11-17
共青团员组织关系介绍信,https://cybersec.ustc.edu.cn/2023/1106/c34997a616806/page.htm,2023-11-06
网络空间安全学院学研两会活动项目审批表,https://cybersec.ustc.edu.cn/2023/0921/c34997a612957/page.htm,2023-09-21
网络空间安全学院团学活动项目审批表,https://cybersec.ustc.edu.cn/2023/0921/c34997a612956/page.htm,2023-09-21
网络空间安全学院班级活动项目审批表,https://cybersec.ustc.edu.cn/2023/0921/c34997a612955/page.htm,2023-09-21
因公临时出访回国人员恢复工资申请表,https://oic.ustc.edu.cn/wp-content/uploads/2023/01/因公临时出访回国人员恢复工资申请表.doc,2023-01-09
来访必要性说明,https://oic.ustc.edu.cn/download/%e6%9d%a5%e8%ae%bf%e5%bf%85%e8%a6%81%e6%80%a7%e8%af%b4%e6%98%8e-2/,2022-11-14
中国科学技术大学信纸,https://oic.ustc.edu.cn/download/14745-2/,2022-10-24
来访邀请流程填报类型参照,https://oic.ustc.edu.cn/download/%e6%b5%81%e7%a8%8b%e5%a1%ab%e6%8a%a5%e7%b1%bb%e5%9e%8b%e5%8f%82%e7%85%a7/,2022-07-13
国际人才计划项目（PIFI）境外执行的指导意见及参考文件,https://oic.ustc.edu.cn/download/%e5%9b%bd%e9%99%85%e4%ba%ba%e6%89%8d%e8%ae%a1%e5%88%92%e9%a1%b9%e7%9b%ae%ef%bc%88pifi%ef%bc%89%e5%a2%83%e5%a4%96%e6%89%a7%e8%a1%8c%e7%9a%84%e6%8c%87%e5%af%bc%e6%84%8f%e8%a7%81%e5%8f%8a%e5%8f%82/,2022-04-02
远程协议模板,https://oic.ustc.edu.cn/download/%e8%bf%9c%e7%a8%8b%e5%8d%8f%e8%ae%ae%e6%a8%a1%e6%9d%bf/,2021-09-30
